pop	population	reg	region	regcolor	lat	lng	dataset
EnglishSGDP	English in England (SGDP)	WEU	West Eurasia	#001f54	51.2	0.7	sgdp
TuscanSGDP	Tuscan in Italy(Tuscany) (SGDP)	WEU	West Eurasia	#001f54	43	11	sgdp
PolishSGDP	Polish in Poland (SGDP)	WEU	West Eurasia	#001f54	52.2	21	sgdp
ChechenSGDP	Chechen in Russia (SGDP)	WEU	West Eurasia	#001f54	43.3	45.7	sgdp
GeorgianSGDP	Georgian in Georgia (SGDP)	WEU	West Eurasia	#001f54	42.5	41.9	sgdp
PalestinianSGDP	Palestinian in Israel(Central) (SGDP)	WEU	West Eurasia	#001f54	32	35	sgdp
TajikSGDP	Tajik in Tajikistan (SGDP)	WEU	West Eurasia	#001f54	37.6	71.5	sgdp
SaamiSGDP	Saami in Finland (SGDP)	WEU	West Eurasia	#001f54	69.9	27	sgdp
AdygeiSGDP	Adygei in Russia(Caucasus) (SGDP)	WEU	West Eurasia	#001f54	44	39	sgdp
CreteSGDP	Crete in Greece (SGDP)	WEU	West Eurasia	#001f54	35.341846	25.148254	sgdp
SamaritanSGDP	Samaritan in Israel (SGDP)	WEU	West Eurasia	#001f54	32.2	35.3	sgdp
NorthOssetianSGDP	North Ossetian in Russia (SGDP)	WEU	West Eurasia	#001f54	43	44.7	sgdp
LezginSGDP	Lezgin in Russia (SGDP)	WEU	West Eurasia	#001f54	42.1	48.2	sgdp
CzechSGDP	Czech in Czechoslovakia(pre1989) (SGDP)	WEU	West Eurasia	#001f54	50.1	14.4	sgdp
BasqueSGDP	Basque in France (SGDP)	WEU	West Eurasia	#001f54	43	0	sgdp
EstonianSGDP	Estonian in Estonia (SGDP)	WEU	West Eurasia	#001f54	58.5	24.9	sgdp
IcelandicSGDP	Icelandic in Iceland (SGDP)	WEU	West Eurasia	#001f54	64.1	-21.9	sgdp
SardinianSGDP	Sardinian in Italy (SGDP)	WEU	West Eurasia	#001f54	40	9	sgdp
SpanishSGDP	Spanish in Spain (SGDP)	WEU	West Eurasia	#001f54	39.9	-4	sgdp
YemeniteJewSGDP	Yemenite Jew in Yemen (SGDP)	WEU	West Eurasia	#001f54	15.4	44.2	sgdp
FrenchSGDP	French in France (SGDP)	WEU	West Eurasia	#001f54	46	2	sgdp
JordanianSGDP	Jordanian in Jordan (SGDP)	WEU	West Eurasia	#001f54	32.1	35.9	sgdp
IranianSGDP	Iranian in Iran (SGDP)	WEU	West Eurasia	#001f54	35.6	51.5	sgdp
BergamoSGDP	Bergamo in Italy(Bergamo) (SGDP)	WEU	West Eurasia	#001f54	46	10	sgdp
