id	sex	population	region	dataset
HG03713	M	ITU	SAS	KGP
HG03714	F	ITU	SAS	KGP
HG03716	M	ITU	SAS	KGP
HG03717	F	ITU	SAS	KGP
HG03718	M	ITU	SAS	KGP
HG03719	F	ITU	SAS	KGP
HG03720	M	ITU	SAS	KGP
HG03721	F	ITU	SAS	KGP
HG03722	F	ITU	SAS	KGP
HG03725	M	ITU	SAS	KGP
HG03727	M	ITU	SAS	KGP
HG03729	M	ITU	SAS	KGP
HG03730	F	ITU	SAS	KGP
HG03731	F	ITU	SAS	KGP
HG03732	M	ITU	SAS	KGP
HG03733	F	STU	SAS	KGP
HG03736	F	STU	SAS	KGP
HG03738	M	STU	SAS	KGP
HG03740	M	STU	SAS	KGP
HG03741	F	STU	SAS	KGP
HG03742	M	ITU	SAS	KGP
HG03743	M	STU	SAS	KGP
HG03744	M	STU	SAS	KGP
HG03745	M	STU	SAS	KGP
HG03746	M	STU	SAS	KGP
HG03750	M	STU	SAS	KGP
HG03752	F	STU	SAS	KGP
HG03753	M	STU	SAS	KGP
HG03754	F	STU	SAS	KGP
HG03755	M	STU	SAS	KGP
HG03756	F	STU	SAS	KGP
HG03757	F	STU	SAS	KGP
HG03760	F	STU	SAS	KGP
HG03761	M	PJL	SAS	KGP
HG03762	F	PJL	SAS	KGP
HG03763	M	PJL	SAS	KGP
HG03765	F	PJL	SAS	KGP
HG03767	M	PJL	SAS	KGP
HG03770	F	ITU	SAS	KGP
HG03771	M	ITU	SAS	KGP
HG03772	F	ITU	SAS	KGP
HG03773	M	ITU	SAS	KGP
HG03774	F	ITU	SAS	KGP
HG03775	M	ITU	SAS	KGP
HG03777	M	ITU	SAS	KGP
HG03778	M	ITU	SAS	KGP
HG03779	M	ITU	SAS	KGP
HG03780	F	ITU	SAS	KGP
HG03781	F	ITU	SAS	KGP
HG03782	F	ITU	SAS	KGP
HG03784	F	ITU	SAS	KGP
HG03785	M	ITU	SAS	KGP
HG03786	M	ITU	SAS	KGP
HG03787	F	ITU	SAS	KGP
HG03788	M	ITU	SAS	KGP
HG03789	F	ITU	SAS	KGP
HG03790	M	ITU	SAS	KGP
HG03792	M	ITU	SAS	KGP
HG03793	F	BEB	SAS	KGP
HG03794	M	BEB	SAS	KGP
HG03795	M	BEB	SAS	KGP
HG03796	F	BEB	SAS	KGP
HG03797	M	BEB	SAS	KGP
HG03798	M	BEB	SAS	KGP
HG03799	F	BEB	SAS	KGP
HG03800	M	BEB	SAS	KGP
HG03801	F	BEB	SAS	KGP
HG03802	F	BEB	SAS	KGP
HG03803	M	BEB	SAS	KGP
HG03804	F	BEB	SAS	KGP
HG03805	F	BEB	SAS	KGP
HG03806	M	BEB	SAS	KGP
HG03807	F	BEB	SAS	KGP
