id	sex	population	region	dataset
NA12891	M	CEU	EUR	KGP
NA12892	F	CEU	EUR	KGP
NA18484	F	YRI	AFR	KGP
NA18485	M	YRI	AFR	KGP
NA18486	M	YRI	AFR	KGP
NA18487	M	YRI	AFR	KGP
NA18488	F	YRI	AFR	KGP
NA18489	F	YRI	AFR	KGP
NA18497	M	YRI	AFR	KGP
NA18498	M	YRI	AFR	KGP
NA18499	F	YRI	AFR	KGP
NA18500	M	YRI	AFR	KGP
NA18501	M	YRI	AFR	KGP
NA18502	F	YRI	AFR	KGP
NA18503	M	YRI	AFR	KGP
NA18504	M	YRI	AFR	KGP
NA18505	F	YRI	AFR	KGP
NA18506	M	YRI	AFR	KGP
NA18507	M	YRI	AFR	KGP
NA18508	F	YRI	AFR	KGP
NA18510	M	YRI	AFR	KGP
NA18511	F	YRI	AFR	KGP
NA18515	M	YRI	AFR	KGP
NA18516	M	YRI	AFR	KGP
NA18517	F	YRI	AFR	KGP
NA18518	F	YRI	AFR	KGP
NA18519	M	YRI	AFR	KGP
NA18520	F	YRI	AFR	KGP
NA18521	M	YRI	AFR	KGP
NA18522	M	YRI	AFR	KGP
NA18523	F	YRI	AFR	KGP
NA18525	F	CHB	EAS	KGP
NA18526	F	CHB	EAS	KGP
NA18528	F	CHB	EAS	KGP
NA18530	M	CHB	EAS	KGP
NA18531	F	CHB	EAS	KGP
NA18532	F	CHB	EAS	KGP
NA18533	F	CHB	EAS	KGP
NA18534	M	CHB	EAS	KGP
NA18535	F	CHB	EAS	KGP
NA18536	M	CHB	EAS	KGP
NA18537	F	CHB	EAS	KGP
NA18538	F	CHB	EAS	KGP
NA18539	F	CHB	EAS	KGP
NA18541	F	CHB	EAS	KGP
NA18542	F	CHB	EAS	KGP
NA18543	M	CHB	EAS	KGP
NA18544	M	CHB	EAS	KGP
NA18545	F	CHB	EAS	KGP
NA18546	M	CHB	EAS	KGP
NA18547	F	CHB	EAS	KGP
NA18548	M	CHB	EAS	KGP
NA18549	M	CHB	EAS	KGP
NA18550	F	CHB	EAS	KGP
NA18552	F	CHB	EAS	KGP
NA18553	F	CHB	EAS	KGP
NA18555	F	CHB	EAS	KGP
NA18557	M	CHB	EAS	KGP
NA18558	M	CHB	EAS	KGP
NA18559	M	CHB	EAS	KGP
NA18560	F	CHB	EAS	KGP
NA18561	M	CHB	EAS	KGP
NA18562	M	CHB	EAS	KGP
NA18563	M	CHB	EAS	KGP
NA18564	F	CHB	EAS	KGP
NA18565	F	CHB	EAS	KGP
NA18566	F	CHB	EAS	KGP
NA18567	F	CHB	EAS	KGP
NA18570	F	CHB	EAS	KGP
NA18571	F	CHB	EAS	KGP
NA18572	M	CHB	EAS	KGP
NA18573	F	CHB	EAS	KGP
NA18574	F	CHB	EAS	KGP
NA18577	F	CHB	EAS	KGP
NA18579	F	CHB	EAS	KGP
NA18582	F	CHB	EAS	KGP
NA18591	F	CHB	EAS	KGP
NA18592	F	CHB	EAS	KGP
NA18593	F	CHB	EAS	KGP
NA18595	F	CHB	EAS	KGP
NA18596	F	CHB	EAS	KGP
NA18597	F	CHB	EAS	KGP
NA18599	F	CHB	EAS	KGP
NA18602	F	CHB	EAS	KGP
NA18603	M	CHB	EAS	KGP
NA18605	M	CHB	EAS	KGP
NA18606	M	CHB	EAS	KGP
NA18608	M	CHB	EAS	KGP
NA18609	M	CHB	EAS	KGP
NA18610	F	CHB	EAS	KGP
NA18611	M	CHB	EAS	KGP
NA18612	M	CHB	EAS	KGP
NA18613	M	CHB	EAS	KGP
NA18614	F	CHB	EAS	KGP
NA18615	F	CHB	EAS	KGP
NA18616	F	CHB	EAS	KGP
NA18617	F	CHB	EAS	KGP
NA18618	F	CHB	EAS	KGP
NA18619	F	CHB	EAS	KGP
NA18620	M	CHB	EAS	KGP
NA18621	M	CHB	EAS	KGP
NA18622	M	CHB	EAS	KGP
NA18623	M	CHB	EAS	KGP
NA18624	M	CHB	EAS	KGP
NA18625	F	CHB	EAS	KGP
NA18626	F	CHB	EAS	KGP
NA18627	F	CHB	EAS	KGP
NA18628	F	CHB	EAS	KGP
NA18629	M	CHB	EAS	KGP
NA18630	F	CHB	EAS	KGP
NA18631	F	CHB	EAS	KGP
NA18632	M	CHB	EAS	KGP
NA18633	M	CHB	EAS	KGP
NA18634	F	CHB	EAS	KGP
NA18635	M	CHB	EAS	KGP
NA18636	M	CHB	EAS	KGP
NA18637	M	CHB	EAS	KGP
NA18638	M	CHB	EAS	KGP
NA18639	M	CHB	EAS	KGP
NA18640	F	CHB	EAS	KGP
NA18641	F	CHB	EAS	KGP
NA18642	F	CHB	EAS	KGP
NA18643	M	CHB	EAS	KGP
NA18644	F	CHB	EAS	KGP
NA18645	M	CHB	EAS	KGP
NA18646	F	CHB	EAS	KGP
NA18647	M	CHB	EAS	KGP
NA18648	M	CHB	EAS	KGP
NA18740	M	CHB	EAS	KGP
NA18745	M	CHB	EAS	KGP
NA18747	M	CHB	EAS	KGP
NA18748	M	CHB	EAS	KGP
NA18749	M	CHB	EAS	KGP
NA18757	M	CHB	EAS	KGP
NA18852	F	YRI	AFR	KGP
NA18853	M	YRI	AFR	KGP
NA18854	M	YRI	AFR	KGP
NA18855	F	YRI	AFR	KGP
NA18856	M	YRI	AFR	KGP
NA18857	M	YRI	AFR	KGP
NA18858	F	YRI	AFR	KGP
NA18859	M	YRI	AFR	KGP
NA18860	M	YRI	AFR	KGP
NA18861	F	YRI	AFR	KGP
NA18862	M	YRI	AFR	KGP
NA18863	M	YRI	AFR	KGP
NA18864	F	YRI	AFR	KGP
NA18865	M	YRI	AFR	KGP
NA18867	F	YRI	AFR	KGP
NA18868	M	YRI	AFR	KGP
NA18869	M	YRI	AFR	KGP
NA18870	F	YRI	AFR	KGP
NA18871	M	YRI	AFR	KGP
NA18872	M	YRI	AFR	KGP
NA18873	F	YRI	AFR	KGP
NA18874	M	YRI	AFR	KGP
NA18875	F	YRI	AFR	KGP
NA18876	F	YRI	AFR	KGP
NA18877	M	YRI	AFR	KGP
NA18878	F	YRI	AFR	KGP
NA18879	M	YRI	AFR	KGP
NA18881	F	YRI	AFR	KGP
NA18906	F	YRI	AFR	KGP
NA18907	F	YRI	AFR	KGP
NA18908	M	YRI	AFR	KGP
NA18909	F	YRI	AFR	KGP
NA18910	M	YRI	AFR	KGP
NA18911	M	YRI	AFR	KGP
NA18912	F	YRI	AFR	KGP
NA18913	M	YRI	AFR	KGP
NA18914	M	YRI	AFR	KGP
NA18915	M	YRI	AFR	KGP
NA18916	F	YRI	AFR	KGP
NA18917	M	YRI	AFR	KGP
NA18923	M	YRI	AFR	KGP
NA18924	F	YRI	AFR	KGP
NA18925	M	YRI	AFR	KGP
NA18930	F	YRI	AFR	KGP
NA18933	F	YRI	AFR	KGP
NA18934	M	YRI	AFR	KGP
NA18935	M	YRI	AFR	KGP
NA18939	F	JPT	EAS	KGP
NA18940	M	JPT	EAS	KGP
NA18941	F	JPT	EAS	KGP
NA18942	F	JPT	EAS	KGP
NA18943	M	JPT	EAS	KGP
NA18944	M	JPT	EAS	KGP
NA18945	M	JPT	EAS	KGP
NA18946	F	JPT	EAS	KGP
NA18947	F	JPT	EAS	KGP
NA18948	M	JPT	EAS	KGP
NA18949	F	JPT	EAS	KGP
NA18950	F	JPT	EAS	KGP
NA18951	F	JPT	EAS	KGP
NA18952	M	JPT	EAS	KGP
NA18953	M	JPT	EAS	KGP
NA18954	F	JPT	EAS	KGP
NA18956	F	JPT	EAS	KGP
NA18957	F	JPT	EAS	KGP
NA18959	M	JPT	EAS	KGP
NA18960	M	JPT	EAS	KGP
NA18961	M	JPT	EAS	KGP
NA18962	M	JPT	EAS	KGP
NA18963	F	JPT	EAS	KGP
NA18964	F	JPT	EAS	KGP
NA18965	M	JPT	EAS	KGP
NA18966	M	JPT	EAS	KGP
NA18967	M	JPT	EAS	KGP
NA18968	F	JPT	EAS	KGP
NA18969	F	JPT	EAS	KGP
NA18970	M	JPT	EAS	KGP
NA18971	M	JPT	EAS	KGP
NA18972	F	JPT	EAS	KGP
NA18973	F	JPT	EAS	KGP
NA18974	M	JPT	EAS	KGP
NA18975	F	JPT	EAS	KGP
NA18976	F	JPT	EAS	KGP
NA18977	M	JPT	EAS	KGP
NA18978	F	JPT	EAS	KGP
NA18979	F	JPT	EAS	KGP
NA18980	F	JPT	EAS	KGP
NA18981	F	JPT	EAS	KGP
NA18982	M	JPT	EAS	KGP
NA18983	M	JPT	EAS	KGP
NA18984	M	JPT	EAS	KGP
NA18985	M	JPT	EAS	KGP
NA18986	M	JPT	EAS	KGP
NA18987	F	JPT	EAS	KGP
NA18988	M	JPT	EAS	KGP
NA18989	M	JPT	EAS	KGP
NA18990	M	JPT	EAS	KGP
NA18991	F	JPT	EAS	KGP
NA18992	F	JPT	EAS	KGP
NA18993	F	JPT	EAS	KGP
NA18994	M	JPT	EAS	KGP
NA18995	M	JPT	EAS	KGP
NA18997	F	JPT	EAS	KGP
NA18998	F	JPT	EAS	KGP
NA18999	F	JPT	EAS	KGP
NA19000	M	JPT	EAS	KGP
NA19001	F	JPT	EAS	KGP
NA19002	F	JPT	EAS	KGP
NA19003	F	JPT	EAS	KGP
NA19004	M	JPT	EAS	KGP
NA19005	M	JPT	EAS	KGP
NA19006	M	JPT	EAS	KGP
NA19007	M	JPT	EAS	KGP
NA19009	M	JPT	EAS	KGP
NA19010	F	JPT	EAS	KGP
NA19011	F	JPT	EAS	KGP
NA19012	M	JPT	EAS	KGP
NA19017	F	LWK	AFR	KGP
NA19019	F	LWK	AFR	KGP
NA19020	M	LWK	AFR	KGP
NA19023	F	LWK	AFR	KGP
NA19024	F	LWK	AFR	KGP
NA19025	M	LWK	AFR	KGP
NA19026	M	LWK	AFR	KGP
NA19027	M	LWK	AFR	KGP
NA19028	M	LWK	AFR	KGP
NA19030	F	LWK	AFR	KGP
NA19031	M	LWK	AFR	KGP
NA19035	M	LWK	AFR	KGP
NA19036	F	LWK	AFR	KGP
NA19037	F	LWK	AFR	KGP
NA19038	F	LWK	AFR	KGP
NA19041	M	LWK	AFR	KGP
NA19042	F	LWK	AFR	KGP
NA19043	M	LWK	AFR	KGP
NA19054	F	JPT	EAS	KGP
NA19055	M	JPT	EAS	KGP
NA19056	M	JPT	EAS	KGP
NA19057	F	JPT	EAS	KGP
NA19058	M	JPT	EAS	KGP
NA19059	F	JPT	EAS	KGP
NA19060	M	JPT	EAS	KGP
NA19062	M	JPT	EAS	KGP
NA19063	M	JPT	EAS	KGP
NA19064	F	JPT	EAS	KGP
NA19065	F	JPT	EAS	KGP
NA19066	M	JPT	EAS	KGP
NA19067	M	JPT	EAS	KGP
NA19068	M	JPT	EAS	KGP
NA19070	M	JPT	EAS	KGP
NA19072	M	JPT	EAS	KGP
NA19074	F	JPT	EAS	KGP
NA19075	M	JPT	EAS	KGP
NA19076	M	JPT	EAS	KGP
NA19077	F	JPT	EAS	KGP
NA19078	F	JPT	EAS	KGP
NA19079	M	JPT	EAS	KGP
NA19080	F	JPT	EAS	KGP
NA19081	F	JPT	EAS	KGP
NA19082	M	JPT	EAS	KGP
NA19083	M	JPT	EAS	KGP
NA19084	F	JPT	EAS	KGP
NA19085	M	JPT	EAS	KGP
NA19086	M	JPT	EAS	KGP
NA19087	F	JPT	EAS	KGP
NA19088	M	JPT	EAS	KGP
NA19089	M	JPT	EAS	KGP
NA19090	F	JPT	EAS	KGP
NA19091	M	JPT	EAS	KGP
NA19092	M	YRI	AFR	KGP
NA19093	F	YRI	AFR	KGP
NA19094	F	YRI	AFR	KGP
NA19095	F	YRI	AFR	KGP
NA19096	M	YRI	AFR	KGP
NA19097	F	YRI	AFR	KGP
NA19098	M	YRI	AFR	KGP
NA19099	F	YRI	AFR	KGP
NA19100	F	YRI	AFR	KGP
NA19101	M	YRI	AFR	KGP
NA19102	F	YRI	AFR	KGP
NA19103	M	YRI	AFR	KGP
NA19107	M	YRI	AFR	KGP
NA19108	F	YRI	AFR	KGP
NA19109	F	YRI	AFR	KGP
NA19113	M	YRI	AFR	KGP
NA19114	F	YRI	AFR	KGP
NA19115	F	YRI	AFR	KGP
NA19116	F	YRI	AFR	KGP
NA19117	M	YRI	AFR	KGP
NA19118	F	YRI	AFR	KGP
NA19119	M	YRI	AFR	KGP
NA19120	M	YRI	AFR	KGP
NA19121	M	YRI	AFR	KGP
NA19122	F	YRI	AFR	KGP
NA19123	M	YRI	AFR	KGP
NA19127	F	YRI	AFR	KGP
NA19128	M	YRI	AFR	KGP
NA19129	F	YRI	AFR	KGP
NA19130	M	YRI	AFR	KGP
NA19131	F	YRI	AFR	KGP
NA19132	F	YRI	AFR	KGP
NA19137	F	YRI	AFR	KGP
NA19138	M	YRI	AFR	KGP
NA19139	M	YRI	AFR	KGP
NA19140	F	YRI	AFR	KGP
NA19141	M	YRI	AFR	KGP
NA19142	M	YRI	AFR	KGP
NA19143	F	YRI	AFR	KGP
NA19144	M	YRI	AFR	KGP
NA19145	M	YRI	AFR	KGP
NA19146	M	YRI	AFR	KGP
NA19147	F	YRI	AFR	KGP
NA19148	F	YRI	AFR	KGP
NA19149	F	YRI	AFR	KGP
NA19150	M	YRI	AFR	KGP
NA19151	F	YRI	AFR	KGP
NA19152	F	YRI	AFR	KGP
NA19153	M	YRI	AFR	KGP
NA19154	M	YRI	AFR	KGP
NA19159	F	YRI	AFR	KGP
NA19160	M	YRI	AFR	KGP
NA19161	M	YRI	AFR	KGP
NA19171	M	YRI	AFR	KGP
NA19172	F	YRI	AFR	KGP
NA19173	M	YRI	AFR	KGP
NA19174	M	YRI	AFR	KGP
NA19175	M	YRI	AFR	KGP
NA19176	F	YRI	AFR	KGP
NA19177	M	YRI	AFR	KGP
NA19184	M	YRI	AFR	KGP
NA19185	F	YRI	AFR	KGP
NA19186	M	YRI	AFR	KGP
NA19189	M	YRI	AFR	KGP
NA19190	F	YRI	AFR	KGP
NA19191	M	YRI	AFR	KGP
NA19197	F	YRI	AFR	KGP
NA19198	M	YRI	AFR	KGP
NA19199	F	YRI	AFR	KGP
NA19200	M	YRI	AFR	KGP
NA19201	F	YRI	AFR	KGP
NA19202	F	YRI	AFR	KGP
NA19203	M	YRI	AFR	KGP
NA19204	F	YRI	AFR	KGP
NA19205	M	YRI	AFR	KGP
NA19206	F	YRI	AFR	KGP
NA19207	M	YRI	AFR	KGP
NA19208	M	YRI	AFR	KGP
NA19209	F	YRI	AFR	KGP
NA19210	M	YRI	AFR	KGP
NA19211	M	YRI	AFR	KGP
NA19213	M	YRI	AFR	KGP
NA19214	F	YRI	AFR	KGP
NA19215	F	YRI	AFR	KGP
NA19221	F	YRI	AFR	KGP
NA19222	F	YRI	AFR	KGP
NA19223	M	YRI	AFR	KGP
NA19224	M	YRI	AFR	KGP
NA19225	F	YRI	AFR	KGP
NA19226	M	YRI	AFR	KGP
NA19235	F	YRI	AFR	KGP
NA19236	M	YRI	AFR	KGP
NA19237	F	YRI	AFR	KGP
NA19238	F	YRI	AFR	KGP
NA19239	M	YRI	AFR	KGP
NA19240	F	YRI	AFR	KGP
NA19247	F	YRI	AFR	KGP
NA19248	M	YRI	AFR	KGP
NA19249	M	YRI	AFR	KGP
NA19256	M	YRI	AFR	KGP
NA19257	F	YRI	AFR	KGP
NA19258	M	YRI	AFR	KGP
NA19307	M	LWK	AFR	KGP
NA19308	M	LWK	AFR	KGP
NA19309	M	LWK	AFR	KGP
NA19310	F	LWK	AFR	KGP
NA19312	M	LWK	AFR	KGP
NA19314	F	LWK	AFR	KGP
NA19315	F	LWK	AFR	KGP
NA19316	F	LWK	AFR	KGP
NA19317	M	LWK	AFR	KGP
NA19318	M	LWK	AFR	KGP
NA19319	M	LWK	AFR	KGP
NA19320	F	LWK	AFR	KGP
NA19321	F	LWK	AFR	KGP
NA19323	F	LWK	AFR	KGP
NA19324	F	LWK	AFR	KGP
NA19327	F	LWK	AFR	KGP
NA19328	F	LWK	AFR	KGP
NA19331	M	LWK	AFR	KGP
NA19332	F	LWK	AFR	KGP
NA19334	M	LWK	AFR	KGP
NA19338	F	LWK	AFR	KGP
NA19346	M	LWK	AFR	KGP
NA19347	M	LWK	AFR	KGP
NA19350	M	LWK	AFR	KGP
NA19351	F	LWK	AFR	KGP
NA19355	F	LWK	AFR	KGP
NA19360	M	LWK	AFR	KGP
NA19372	M	LWK	AFR	KGP
NA19374	M	LWK	AFR	KGP
NA19375	M	LWK	AFR	KGP
NA19376	M	LWK	AFR	KGP
NA19377	F	LWK	AFR	KGP
NA19378	F	LWK	AFR	KGP
NA19379	F	LWK	AFR	KGP
NA19380	M	LWK	AFR	KGP
NA19383	M	LWK	AFR	KGP
NA19384	M	LWK	AFR	KGP
NA19385	M	LWK	AFR	KGP
NA19390	F	LWK	AFR	KGP
NA19391	F	LWK	AFR	KGP
NA19393	M	LWK	AFR	KGP
NA19394	M	LWK	AFR	KGP
NA19395	F	LWK	AFR	KGP
NA19397	M	LWK	AFR	KGP
NA19399	F	LWK	AFR	KGP
NA19401	F	LWK	AFR	KGP
NA19403	F	LWK	AFR	KGP
NA19404	F	LWK	AFR	KGP
NA19428	M	LWK	AFR	KGP
NA19429	M	LWK	AFR	KGP
NA19430	M	LWK	AFR	KGP
NA19431	F	LWK	AFR	KGP
NA19434	F	LWK	AFR	KGP
NA19435	F	LWK	AFR	KGP
NA19436	F	LWK	AFR	KGP
NA19437	F	LWK	AFR	KGP
NA19438	F	LWK	AFR	KGP
NA19439	F	LWK	AFR	KGP
NA19440	F	LWK	AFR	KGP
NA19443	M	LWK	AFR	KGP
NA19445	F	LWK	AFR	KGP
NA19446	F	LWK	AFR	KGP
NA19448	M	LWK	AFR	KGP
NA19449	F	LWK	AFR	KGP
NA19451	M	LWK	AFR	KGP
NA19452	M	LWK	AFR	KGP
NA19454	M	LWK	AFR	KGP
NA19455	M	LWK	AFR	KGP
NA19456	F	LWK	AFR	KGP
NA19457	F	LWK	AFR	KGP
NA19461	M	LWK	AFR	KGP
NA19462	F	LWK	AFR	KGP
NA19463	F	LWK	AFR	KGP
NA19466	M	LWK	AFR	KGP
NA19467	F	LWK	AFR	KGP
NA19468	F	LWK	AFR	KGP
NA19471	F	LWK	AFR	KGP
NA19472	F	LWK	AFR	KGP
NA19473	F	LWK	AFR	KGP
NA19474	F	LWK	AFR	KGP
NA19475	F	LWK	AFR	KGP
NA19625	F	ASW	AFR	KGP
NA19648	F	MXL	AMR	KGP
NA19649	M	MXL	AMR	KGP
NA19650	M	MXL	AMR	KGP
NA19651	F	MXL	AMR	KGP
NA19652	M	MXL	AMR	KGP
NA19653	F	MXL	AMR	KGP
NA19654	F	MXL	AMR	KGP
NA19655	M	MXL	AMR	KGP
NA19656	F	MXL	AMR	KGP
NA19657	F	MXL	AMR	KGP
NA19658	M	MXL	AMR	KGP
NA19659	F	MXL	AMR	KGP
NA19660	F	MXL	AMR	KGP
NA19661	M	MXL	AMR	KGP
NA19662	F	MXL	AMR	KGP
NA19663	F	MXL	AMR	KGP
NA19664	M	MXL	AMR	KGP
NA19665	F	MXL	AMR	KGP
NA19669	F	MXL	AMR	KGP
NA19670	M	MXL	AMR	KGP
NA19671	F	MXL	AMR	KGP
NA19675	F	MXL	AMR	KGP
NA19676	M	MXL	AMR	KGP
NA19677	F	MXL	AMR	KGP
NA19678	F	MXL	AMR	KGP
NA19679	M	MXL	AMR	KGP
NA19680	F	MXL	AMR	KGP
NA19681	F	MXL	AMR	KGP
NA19682	M	MXL	AMR	KGP
NA19683	F	MXL	AMR	KGP
NA19684	F	MXL	AMR	KGP
NA19685	M	MXL	AMR	KGP
NA19686	F	MXL	AMR	KGP
NA19700	M	ASW	AFR	KGP
NA19701	F	ASW	AFR	KGP
NA19702	M	ASW	AFR	KGP
NA19703	M	ASW	AFR	KGP
NA19704	F	ASW	AFR	KGP
NA19705	M	ASW	AFR	KGP
NA19707	F	ASW	AFR	KGP
NA19711	M	ASW	AFR	KGP
NA19712	F	ASW	AFR	KGP
NA19713	F	ASW	AFR	KGP
NA19716	F	MXL	AMR	KGP
NA19717	M	MXL	AMR	KGP
NA19718	F	MXL	AMR	KGP
NA19719	F	MXL	AMR	KGP
NA19720	M	MXL	AMR	KGP
NA19721	F	MXL	AMR	KGP
NA19722	F	MXL	AMR	KGP
NA19723	M	MXL	AMR	KGP
NA19724	M	MXL	AMR	KGP
NA19725	F	MXL	AMR	KGP
NA19726	M	MXL	AMR	KGP
NA19727	M	MXL	AMR	KGP
NA19728	F	MXL	AMR	KGP
NA19729	M	MXL	AMR	KGP
NA19730	F	MXL	AMR	KGP
NA19731	F	MXL	AMR	KGP
NA19732	M	MXL	AMR	KGP
NA19733	F	MXL	AMR	KGP
NA19734	F	MXL	AMR	KGP
NA19735	M	MXL	AMR	KGP
NA19740	F	MXL	AMR	KGP
NA19741	M	MXL	AMR	KGP
NA19746	F	MXL	AMR	KGP
NA19747	M	MXL	AMR	KGP
NA19748	F	MXL	AMR	KGP
NA19749	F	MXL	AMR	KGP
NA19750	M	MXL	AMR	KGP
NA19751	M	MXL	AMR	KGP
NA19752	F	MXL	AMR	KGP
NA19755	F	MXL	AMR	KGP
NA19756	M	MXL	AMR	KGP
NA19757	M	MXL	AMR	KGP
NA19758	F	MXL	AMR	KGP
NA19759	M	MXL	AMR	KGP
NA19760	F	MXL	AMR	KGP
NA19761	F	MXL	AMR	KGP
NA19762	M	MXL	AMR	KGP
NA19763	F	MXL	AMR	KGP
NA19764	F	MXL	AMR	KGP
NA19770	F	MXL	AMR	KGP
NA19771	M	MXL	AMR	KGP
NA19772	M	MXL	AMR	KGP
NA19773	F	MXL	AMR	KGP
NA19774	M	MXL	AMR	KGP
NA19775	F	MXL	AMR	KGP
NA19776	F	MXL	AMR	KGP
NA19777	M	MXL	AMR	KGP
NA19778	M	MXL	AMR	KGP
NA19779	F	MXL	AMR	KGP
NA19780	M	MXL	AMR	KGP
NA19781	F	MXL	AMR	KGP
NA19782	F	MXL	AMR	KGP
NA19783	M	MXL	AMR	KGP
NA19784	M	MXL	AMR	KGP
NA19785	F	MXL	AMR	KGP
NA19786	M	MXL	AMR	KGP
NA19787	M	MXL	AMR	KGP
NA19788	F	MXL	AMR	KGP
NA19789	M	MXL	AMR	KGP
NA19790	F	MXL	AMR	KGP
NA19792	M	MXL	AMR	KGP
NA19794	F	MXL	AMR	KGP
NA19795	M	MXL	AMR	KGP
NA19796	M	MXL	AMR	KGP
NA19818	M	ASW	AFR	KGP
NA19819	F	ASW	AFR	KGP
NA19828	M	ASW	AFR	KGP
NA19834	M	ASW	AFR	KGP
NA19835	F	ASW	AFR	KGP
NA19836	F	ASW	AFR	KGP
NA19900	M	ASW	AFR	KGP
NA19901	F	ASW	AFR	KGP
NA19902	F	ASW	AFR	KGP
NA19904	M	ASW	AFR	KGP
NA19908	M	ASW	AFR	KGP
NA19909	F	ASW	AFR	KGP
NA19913	F	ASW	AFR	KGP
NA19914	F	ASW	AFR	KGP
NA19916	M	ASW	AFR	KGP
NA19917	F	ASW	AFR	KGP
NA19918	M	ASW	AFR	KGP
NA19919	M	ASW	AFR	KGP
NA19920	M	ASW	AFR	KGP
NA19921	F	ASW	AFR	KGP
NA19922	M	ASW	AFR	KGP
NA19923	F	ASW	AFR	KGP
NA19924	F	ASW	AFR	KGP
NA19982	M	ASW	AFR	KGP
NA19983	F	ASW	AFR	KGP
NA19984	M	ASW	AFR	KGP
NA20126	M	ASW	AFR	KGP
NA20127	F	ASW	AFR	KGP
NA20128	F	ASW	AFR	KGP
NA20129	F	ASW	AFR	KGP
NA20274	F	ASW	AFR	KGP
NA20276	F	ASW	AFR	KGP
NA20278	M	ASW	AFR	KGP
NA20279	M	ASW	AFR	KGP
NA20281	M	ASW	AFR	KGP
NA20282	F	ASW	AFR	KGP
NA20287	F	ASW	AFR	KGP
NA20289	F	ASW	AFR	KGP
NA20291	M	ASW	AFR	KGP
NA20294	F	ASW	AFR	KGP
NA20296	F	ASW	AFR	KGP
NA20298	M	ASW	AFR	KGP
NA20299	F	ASW	AFR	KGP
NA20314	F	ASW	AFR	KGP
NA20317	F	ASW	AFR	KGP
NA20318	M	ASW	AFR	KGP
NA20320	F	ASW	AFR	KGP
NA20321	F	ASW	AFR	KGP
NA20332	F	ASW	AFR	KGP
NA20334	F	ASW	AFR	KGP
NA20339	F	ASW	AFR	KGP
NA20340	M	ASW	AFR	KGP
NA20342	M	ASW	AFR	KGP
NA20346	M	ASW	AFR	KGP
NA20348	M	ASW	AFR	KGP
NA20351	M	ASW	AFR	KGP
NA20355	F	ASW	AFR	KGP
NA20356	M	ASW	AFR	KGP
NA20357	F	ASW	AFR	KGP
NA20358	M	ASW	AFR	KGP
NA20359	F	ASW	AFR	KGP
NA20362	M	ASW	AFR	KGP
NA20412	F	ASW	AFR	KGP
NA20502	F	TSI	EUR	KGP
NA20503	F	TSI	EUR	KGP
NA20504	F	TSI	EUR	KGP
NA20505	F	TSI	EUR	KGP
NA20506	F	TSI	EUR	KGP
NA20507	F	TSI	EUR	KGP
NA20508	F	TSI	EUR	KGP
NA20509	M	TSI	EUR	KGP
NA20510	M	TSI	EUR	KGP
NA20511	M	TSI	EUR	KGP
NA20512	M	TSI	EUR	KGP
NA20513	M	TSI	EUR	KGP
NA20514	F	TSI	EUR	KGP
NA20515	M	TSI	EUR	KGP
NA20516	M	TSI	EUR	KGP
NA20517	F	TSI	EUR	KGP
NA20518	M	TSI	EUR	KGP
NA20519	M	TSI	EUR	KGP
NA20520	M	TSI	EUR	KGP
NA20521	M	TSI	EUR	KGP
NA20522	F	TSI	EUR	KGP
NA20524	M	TSI	EUR	KGP
NA20525	M	TSI	EUR	KGP
NA20527	M	TSI	EUR	KGP
NA20528	M	TSI	EUR	KGP
NA20529	F	TSI	EUR	KGP
NA20530	F	TSI	EUR	KGP
NA20531	F	TSI	EUR	KGP
NA20532	M	TSI	EUR	KGP
NA20533	F	TSI	EUR	KGP
NA20534	M	TSI	EUR	KGP
NA20535	F	TSI	EUR	KGP
NA20536	M	TSI	EUR	KGP
NA20538	M	TSI	EUR	KGP
NA20539	M	TSI	EUR	KGP
NA20540	F	TSI	EUR	KGP
NA20541	F	TSI	EUR	KGP
NA20542	F	TSI	EUR	KGP
NA20543	M	TSI	EUR	KGP
NA20544	M	TSI	EUR	KGP
NA20581	M	TSI	EUR	KGP
NA20582	F	TSI	EUR	KGP
NA20585	F	TSI	EUR	KGP
NA20586	M	TSI	EUR	KGP
NA20587	F	TSI	EUR	KGP
NA20588	M	TSI	EUR	KGP
NA20589	F	TSI	EUR	KGP
NA20752	M	TSI	EUR	KGP
NA20753	F	TSI	EUR	KGP
NA20754	M	TSI	EUR	KGP
NA20755	M	TSI	EUR	KGP
NA20756	F	TSI	EUR	KGP
NA20757	F	TSI	EUR	KGP
NA20758	M	TSI	EUR	KGP
NA20759	M	TSI	EUR	KGP
NA20760	F	TSI	EUR	KGP
NA20761	F	TSI	EUR	KGP
NA20762	M	TSI	EUR	KGP
NA20763	M	TSI	EUR	KGP
NA20764	F	TSI	EUR	KGP
NA20765	M	TSI	EUR	KGP
NA20766	F	TSI	EUR	KGP
NA20767	M	TSI	EUR	KGP
NA20768	F	TSI	EUR	KGP
NA20769	F	TSI	EUR	KGP
NA20770	M	TSI	EUR	KGP
NA20771	F	TSI	EUR	KGP
NA20772	F	TSI	EUR	KGP
NA20773	F	TSI	EUR	KGP
NA20774	F	TSI	EUR	KGP
NA20775	F	TSI	EUR	KGP
NA20778	M	TSI	EUR	KGP
NA20783	M	TSI	EUR	KGP
NA20785	M	TSI	EUR	KGP
NA20786	F	TSI	EUR	KGP
NA20787	M	TSI	EUR	KGP
NA20790	F	TSI	EUR	KGP
NA20792	M	TSI	EUR	KGP
NA20795	F	TSI	EUR	KGP
